,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,Russell Wilson,Justin Herbert,Josh Allen,Aaron Rodgers,Drew Brees,Jared Goff,Lamar Jackson,Kyler Murray,Deshaun Watson,Baker Mayfield
WR1,A.J. Brown,Jerry Jeudy,DK Metcalf,Mike Evans,Keenan Allen,Davante Adams,Allen Robinson II,Stefon Diggs,Brandin Cooks,DeAndre Hopkins
WR2,Terry McLaurin,Cooper Kupp,Diontae Johnson,Tyler Boyd,Adam Thielen,Mike Williams,Travis Fulgham,Will Fuller V,Michael Thomas,Antonio Brown
RB1,Miles Sanders,Alvin Kamara,Derrick Henry,Aaron Jones,Ronald Jones II,Leonard Fournette,Nick Chubb,D'Andre Swift,James Robinson,James Conner
RB2,Giovani Bernard,Josh Jacobs,Dalvin Cook,Jamaal Williams,Darrell Henderson Jr.,Mike Davis,Antonio Gibson,J.K. Dobbins,Kareem Hunt,Jerick McKinnon
TE,Darren Waller,Eric Ebron,T.J. Hockenson,Gerald Everett,Jonnu Smith,Evan Engram,Mark Andrews,Noah Fant,Dallas Goedert,Rob Gronkowski
W/R/T,Robert Woods,Robby Anderson,Duke Johnson,Marvin Jones Jr.,Tyler Lockett,Jakobi Meyers,Tee Higgins,JuJu Smith-Schuster,Jarvis Landry,DeeJay Dallas
BN1,Kenny Golladay,Chase Edmonds,Joe Mixon,Travis Kelce,Patrick Mahomes,Darius Slayton,J.D. McKissic,Rex Burkhead,Austin Hooper,Justin Jefferson
BN2,Le'Veon Bell,Hayden Hurst,Calvin Ridley,A.J. Green,Clyde Edwards-Helaire,Tom Brady,Devin Singletary,Travis Homer,Hunter Henry,Melvin Gordon III
BN3,Carson Wentz,Julio Jones,DJ Chark Jr.,Brian Hill,Amari Cooper,Phillip Lindsay,Laviska Shenault Jr.,Todd Gurley II,DeVante Parker,Tyreek Hill
BN4,Jalen Reagor,Matt Ryan,Mike Gesicki,Alexander Mattison,Chase Claypool,Jimmy Graham,Zack Moss,DJ Moore,Ezekiel Elliott,Chris Godwin
BN5,Christian McCaffrey,Jonathan Taylor,La'Mical Perine,Joe Burrow,John Brown,CeeDee Lamb,Curtis Samuel,Corey Davis,Ryan Tannehill,Christian Kirk
BN6,Boston Scott,Sterling Shepard,Marquise Brown,Minnesota,Mark Ingram II,Robert Tonyan,Wayne Gallman Jr.,Chris Carson,Damien Harris,Latavius Murray
BN7,Los Angeles,Emmanuel Sanders,Matthew Stafford,,Jordan Wilkins,Kenyan Drake,Jamison Crowder,Keelan Cole Sr.,Brandon Aiyuk,Kalen Ballage
BN8,,,,,,,,,,
K,Jason Sanders,Wil Lutz,Rodrigo Blankenship,Matt Prater,Robbie Gould,Daniel Carlson,Jason Myers,Justin Tucker,Mason Crosby,Zane Gonzalez
DEF,Washington,Pittsburgh,Miami,Indianapolis,Philadelphia,Green Bay,Tampa Bay,Las Vegas,New Orleans,Baltimore
