,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--
QB,Cam Newton,Ben Roethlisberger,Josh Allen,Aaron Rodgers,Patrick Mahomes,Ryan Fitzpatrick,Lamar Jackson,Kyler Murray,Deshaun Watson,Ryan Tannehill
WR1,Robert Woods,Cooper Kupp,Calvin Ridley,Mike Evans,Adam Thielen,CeeDee Lamb,Allen Robinson II,Stefon Diggs,Odell Beckham Jr.,Tyreek Hill
WR2,Kenny Golladay,Robby Anderson,Jerry Jeudy,Tyler Boyd,Amari Cooper,Darius Slayton,T.Y. Hilton,Will Fuller V,DeVante Parker,Chris Godwin
RB1,Miles Sanders,Jonathan Taylor,Joe Mixon,Aaron Jones,Clyde Edwards-Helaire,Kenyan Drake,Devin Singletary,Todd Gurley II,Ezekiel Elliott,James Conner
RB2,Raheem Mostert,Chase Edmonds,Derrick Henry,Alexander Mattison,Ronald Jones II,Mike Davis,James White,D'Andre Swift,Kareem Hunt,Rex Burkhead
TE,Robert Tonyan,T.J. Hockenson,Mike Gesicki,George Kittle,Jonnu Smith,Zach Ertz,Mark Andrews,Trey Burton,Austin Hooper,Evan Engram
W/R/T,Jamison Crowder,Julio Jones,Myles Gaskin,Travis Kelce,John Brown,Davante Adams,Michael Gallup,DJ Moore,James Robinson,DeAndre Hopkins
BN1,David Johnson,Marquise Brown,Dalvin Cook,David Montgomery,Darrell Henderson Jr.,Jared Goff,Justin Jackson,JuJu Smith-Schuster,Cole Beasley,Drew Brees
BN2,Terry McLaurin,Andy Dalton,DK Metcalf,Brian Hill,Tyler Lockett,Tyler Higbee,Zack Moss,Chris Carson,Hunter Henry,Justin Jefferson
BN3,Antonio Gibson,Alvin Kamara,Justin Herbert,Joe Burrow,Keenan Allen,Mecole Hardman,Tee Higgins,Noah Fant,Brandin Cooks,Jerick McKinnon
BN4,Darren Waller,Josh Jacobs,DJ Chark Jr.,Julian Edelman,Mark Ingram II,Leonard Fournette,Laviska Shenault Jr.,Matthew Stafford,Baker Mayfield,Dalton Schultz
BN5,Russell Wilson,Emmanuel Sanders,Diontae Johnson,A.J. Green,Gardner Minshew II,Tom Brady,Travis Fulgham,J.K. Dobbins,Brandon Aiyuk,Malcolm Brown
BN6,Devonta Freeman,Cam Akers,Phillip Lindsay,Darrel Williams,Latavius Murray,Anthony Miller,Adrian Peterson,Jarvis Landry,Damien Harris,Joshua Kelley
BN7,A.J. Brown,Pittsburgh,Buffalo,Jamaal Williams,Chase Claypool,Henry Ruggs III,Tampa Bay,Russell Gage,Michael Thomas,Royce Freeman
BN8,,,,,,,,,,
K,Harrison Butker,Stephen Gostkowski,Zane Gonzalez,Matt Prater,Robbie Gould,Joey Slye,Greg Zuerlein,Justin Tucker,Jason Sanders,Rodrigo Blankenship
DEF,San Francisco,Indianapolis,Kansas City,Los Angeles,Chicago,New England,Miami,Carolina,Cleveland,Baltimore
