,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--
QB,21.9,38.28,25.42,29.58,20.24,11.7,26.02,23.34,20.9,16.54
WR1,21.8,17.7,14.6,25.2,26.2,25.2,23.1,17.5,38.4,11.1
WR2,16.2,7.2,0.0,16.4,33.4,12.7,4.9,22.8,21.0,14.3
RB1,9.6,20.9,42.1,22.1,12.1,3.5,4.3,2.4,20.5,25.8
RB2,11.2,10.3,28.6,10.7,4.7,22.1,18.7,19.3,14.7,2.9
TE,15.8,10.9,2.5,40.1,7.6,6.9,20.7,8.5,5.9,17.2
W/R/T,9.8,8.9,14.1,10.0,5.9,5.0,5.9,8.9,19.1,16.4
BN1,23.12,9.1,29.5,6.5,18.8,0.0,4.5,0.0,0.0,22.7
BN2,4.0,12.6,0.0,16.1,0.0,7.8,8.6,25.0,15.2,0.0
BN3,17.4,15.3,12.4,1.3,8.2,0.0,1.9,0.0,10.2,10.7
BN4,22.8,15.0,0.0,0.2,14.2,6.2,0.0,0.0,13.6,4.3
BN5,10.8,17.9,10.9,18.5,10.7,33.46,12.9,15.2,0.0,6.3
BN6,7.5,0.0,9.2,7.7,8.5,4.6,13.0,2.7,14.4,7.8
BN7,8.0,0.0,20.0,4.3,21.94,4.0,,15.28,10.7,1.9
BN8,,,,,,,,,,
K,5.0,13.0,3.0,5.0,2.0,3.0,2.0,8.0,7.0,14.0
DEF,6.0,7.0,6.0,11.0,5.0,1.0,6.0,4.0,6.0,6.0
TotalPoints,117.3,134.18,136.32,170.08,117.14,91.1,111.62,114.74000000000001,153.5,124.24000000000001
