,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,24.1,23.44,36.0,28.9,30.88,5.36,18.6,37.92,24.24,28.3
WR1,20.1,16.4,23.8,13.3,25.3,33.3,15.1,20.8,17.3,33.1
WR2,24.5,15.3,14.1,5.1,5.8,13.1,0.9,21.0,12.4,6.0
RB1,1.6,15.9,6.8,5.2,12.4,10.1,6.4,13.5,8.9,4.0
RB2,3.3,13.8,39.2,12.9,4.8,2.3,37.1,12.7,15.9,11.9
TE,13.2,13.2,14.9,25.9,11.2,15.8,5.2,7.5,7.3,1.2
W/R/T,12.5,11.8,1.3,10.4,8.0,1.8,0.0,21.3,10.1,6.1
BN1,0.0,23.36,0.0,2.4,12.5,1.0,0.0,3.8,14.62,7.1
BN2,0.0,9.4,0.0,0.0,15.3,17.5,6.4,3.0,0.0,3.7
BN3,1.3,0.0,27.6,6.9,17.9,8.7,0.0,0.0,0.0,9.4
BN4,0.0,11.7,7.2,0.0,0.0,15.1,0.0,14.0,0.0,15.8
BN5,10.6,13.8,5.8,0.0,0.0,7.8,0.0,0.0,6.9,23.3
BN6,0.0,11.2,6.8,0.0,0.0,1.5,12.8,5.5,7.1,6.8
BN7,0.0,25.5,10.44,,5.8,6.6,9.4,1.6,,6.2
BN8,,,,,,,,,,
K,11.0,8.0,5.0,9.0,5.0,4.0,12.0,7.0,11.0,12.0
DEF,5.0,7.0,1.0,5.0,4.0,6.0,1.0,3.0,2.0,14.0
TotalPoints,115.3,124.84,142.1,115.70000000000002,107.38,91.75999999999999,96.3,144.72,109.13999999999999,116.60000000000001
